code,name,origin,packing,unit,category,subcategory,brand,tags
175,Twinings English Breakfast Tea Tin 200g,United Kingdom,200GM*12PCS,PCS,Tea & Coffee,Tea,Twinings,
176,Twinings Gunpowder Green Tea Tin 200g,China,200GM*12PCS,PCS,Tea & Coffee,Tea,Twinings,
177,Twinings Goldline Earl Grey Tin 200g,China,200GM*12PCS,PCS,Tea & Coffee,Tea,Twinings,
178,Lipton Green Tea Mint 100pcs,UAE,130GM*1PCS,OTR,Tea & Coffee,Tea,Lipton,
179,Ahmed Lemon Tea 100pcs,USA,2GM*100PCS,OTR,Tea & Coffee,Tea,Ahmad,
180,Lipton Green Tea Pure 25pcs,UAE,37.5GM*1PCS,OTR,Tea & Coffee,Tea,Lipton,
181,Tetley Super Fruits Multi Vitamin Summer Berry,USA,2GM*20PCS,OTR,Tea & Coffee,Tea,Tetley,
182,Al-Kbous Tea 100pcs x 2g,Oman,2GM*100PCS,BOX,Tea & Coffee,Tea,Al-Kbous,
183,Al Attar Hibiscus Tea 25pcs,USA,5GM*25PCS,OTR,Tea & Coffee,Tea,Al Attar,
184,Figaro Olives Pitted Green 920g,Spain,920GM*5PCS,PCS,Spreads & Condiments,Pickles & Olives,Figaro,
185,American Garden Hamburger Dill Chips 907g,USA,907GM*12PCS,BOX,Spreads & Condiments,Pickles & Olives,American Garden,horeca
186,American Garden Bread & Butter Sweet Chips 907g,USA,907GM*12PCS,BOX,Spreads & Condiments,Pickles & Olives,American Garden,horeca
187,5 Star Creamy Peanut Butter 500g,India,500GM*12PCS,BOX,Spreads & Condiments,Nut Butters,5 Star,
188,American Garden Peanut Butter 794g Creamy,USA,794GM*12PCS,BOX,Spreads & Condiments,Nut Butters,American Garden,
189,Goody Creamy Peanut Butter 1kg,South Africa,1000GM*12PCS,BOX,Spreads & Condiments,Nut Butters,Goody,
190,Al Kanater Plain Halawa 800g,Lebanon,800GM*05PCS,BOX,Spreads & Condiments,Halawa & Tahina,Al Kanater,
191,Al Noor Halawa Plain 800g,Jordan,800GM*05PCS,BOX,Spreads & Condiments,Halawa & Tahina,Al Noor,
192,Nescafe Red Mug 190g,Spain,190GM*6PCS,BOX,Tea & Coffee,Instant Coffee,Nescafe,
193,Nescafe Classic Coffee 190g,Spain,190GM*6PCS,BOX,Tea & Coffee,Instant Coffee,Nescafe,
194,Cafe Najjar Classic 200g,Lebanon,200GM*10PCS,PCS,Tea & Coffee,Ground Coffee,Cafe Najjar,
195,Cafe Najjar Classic With Ground Cardamom 200g,Lebanon,200GM*10PCS,PCS,Tea & Coffee,Ground Coffee,Cafe Najjar,
196,Nescafe Dolce Gusto Espresso 16 Capsules,United Kingdom,16 CAPS*1PCS,PCS,Tea & Coffee,Coffee Capsules,Nescafe,
197,Nescafe Dolce Gusto Americano 16 Capsules,United Kingdom,16 CAPS*1PCS,PCS,Tea & Coffee,Coffee Capsules,Nescafe,
198,Nescafe Dolce Gusto Cappuccino 16 Capsules,United Kingdom,16 CAPS*1PCS,PCS,Tea & Coffee,Coffee Capsules,Nescafe,
199,Roasted Coffee Bean 1kg Medium,Brazil,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,ARCO Coffee,horeca
200,Roasted Coffee Bean 1kg Dark to Medium,Brazil,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,ARCO Coffee,horeca
201,Speciality Coffee Bean 1kg,Brazil,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,ARCO Coffee,horeca
202,Cafe Vero Arabica Extra 1kg Black,Italy,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,Cafe Vero,horeca
203,Cafe Vero Arabica Extra 1kg Red,Italy,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,Cafe Vero,horeca
204,Cafe Vero Arabica Extra 1kg Green,Italy,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,Cafe Vero,horeca
205,Cafe Vero Classic 1kg Green,Italy,1000GM*10PCS,PCS,Tea & Coffee,Coffee Beans,Cafe Vero,horeca
206,Al-Ajaweed Arabic Coffee 350g,Brazil,350GM*5PCS,PCS,Tea & Coffee,Arabic Coffee,Al-Ajaweed,
207,Al-Ajaweed Arabic Coffee 200g,Brazil,250GM*5PCS,PCS,Tea & Coffee,Arabic Coffee,Al-Ajaweed,
208,American Garden US Mayonnaise 887ml,USA,887ML*12PCS,BOX,Spreads & Condiments,Mayonnaise,American Garden,
209,American Garden US Mayonnaise 3.78kg,USA,3.78KG*4PCS,PCS,Spreads & Condiments,Mayonnaise,American Garden,horeca
210,Chef Pride Mayonnaise HD 3.78kg,Oman,3.78KG*4PCS,PCS,Spreads & Condiments,Mayonnaise,Chef Pride,horeca
211,Al Kanater Tahina 800g,Lebanon,800GM*12PCS,PCS,Spreads & Condiments,Halawa & Tahina,Al Kanater,
212,Vinyl Gloves Medium 100pcs,China,100PCS*1BOX,BOX,Disposables & Non-Food,Gloves,Al Bayader,horeca
213,Garbage Bags Wavetop XL 60 Gallons,China,XL*20PCS,OTR,Disposables & Non-Food,Bags & Liners,Carrefour,horeca
214,Paper Cup 7oz With & Without Handle,China,7oz*1000pcs,BOX,Disposables & Non-Food,Cups & Tableware,ARCO Food Service,horeca
